Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-08-17,40.8,27.1,55,13,0,0
Alcúdia,2025-08-17,35.7,24.4,79,27,18,0
Algaida,2025-08-17,38.8,26.1,76,22,19.8,0
Andratx,2025-08-17,39.2,27.1,80,19,16.2,0
Ariany,2025-08-17,-,-,-,-,-,-
Artà,2025-08-17,37.2,21.9,74,22,31.5,0
Banyalbufar,2025-08-17,33.1,25.8,89,28,6.9,0
Binissalem,2025-08-17,41.6,23.3,78,19,13.7,0
Búger,2025-08-17,38,22.6,75,23,19.8,0
Bunyola,2025-08-17,40.8,25.6,90,17,21.9,0
Calvià,2025-08-17,-,-,-,-,-,-
Campanet,2025-08-17,-,-,-,-,-,-
Campos,2025-08-17,40.4,22.4,90,26,37,0
Capdepera,2025-08-17,35.6,27.2,58,22,18.7,0
Consell,2025-08-17,-,-,-,-,-,-
Costitx,2025-08-17,40.8,24.4,92,22,9.3,0
Deià,2025-08-17,34.9,28.2,75,24,8.6,0
Escorca,2025-08-17,33.9,17.9,59,26,13,0
Esporles,2025-08-17,37.3,25.2,91,30,18.7,0
Estellencs,2025-08-17,-,-,-,-,-,-
Felanitx,2025-08-17,38.3,23.7,82,21,25.9,0
Fornalutx,2025-08-17,36.1,26.8,69,23,14.3,0
Inca,2025-08-17,40.5,26.9,69,24,12.2,0
Lloret,2025-08-17,38.9,25.4,88,23,4.7,0
Lloseta,2025-08-17,39.3,24.3,68,20,28.8,0
Llubí,2025-08-17,38.7,24.6,85,23,14.8,0
Llucmajor,2025-08-17,39.3,26.1,86,26,18,0
Manacor,2025-08-17,40,23.6,83,18,15.8,0
Mancor,2025-08-17,-,-,-,-,-,-
Maria,2025-08-17,-,-,-,-,-,-
Marratxí,2025-08-17,39.6,25,87,26,16.9,0
Montuïri,2025-08-17,40,22.2,85,23,24.8,0
Muro,2025-08-17,36.1,26,89,30,0,0
Palma,2025-08-17,37.2,26.3,89,46,13.7,0
Petra,2025-08-17,39.8,24.4,80,20,16.1,0
Pollença,2025-08-17,36.2,26.6,50,9,38.9,0
Porreres,2025-08-17,41,26,76,19,16.6,0
Sa Pobla,2025-08-17,39.3,25.5,76,24,13.2,0
Puigpunyent,2025-08-17,39.5,24.4,78,20,27.8,0
Ses   Salines,2025-08-17,33.6,25.9,89,40,24.1,0
Sant   Joan,2025-08-17,38.1,26.7,66,21,17.4,0
Sant   Llorenç,2025-08-17,41,23.8,74,21,8.7,0
Sencelles,2025-08-17,39.2,25.7,88,24,22.5,0
Santa   Eugènia,2025-08-17,43.6,21.6,92,24,15,0
Santa   Margalida,2025-08-17,36.5,26.6,78,27,20.5,0
Santa   Maria,2025-08-17,-,-,-,-,-,-
Santanyi,2025-08-17,37.6,25.4,91,39,6.4,0
Selva,2025-08-17,38.5,25.6,67,17,12.9,0
Sineu,2025-08-17,39.5,22.9,94,27,11.1,0
Sóller,2025-08-17,36.9,23.9,71,26,16.7,0
Son   Servera,2025-08-17,,,,,,
Valldemossa,2025-08-17,35.3,26.2,82,21,22.5,0
Villafranca,2025-08-17,,,,,0,0
